hsa04514,hsa00430,hsa00563,hsa04810,hsa04710,hsa04722,hsa00250,hsa00983,hsa05414,hsa04310,hsa00051,hsa04621,hsa04140,hsa00072,hsa00601,hsa05412,hsa05110,hsa00290,hsa04920,hsa04742,hsa04512,hsa00240,hsa04623,hsa05010,hsa04622,hsa04142,hsa00010,hsa05100,hsa05020,hsa05012,hsa04012,hsa04520,hsa00450,hsa00030,hsa05223,hsa00640,hsa04972,hsa05145,hsa04330,hsa05146,hsa04020,hsa00790,hsa00600,hsa05330,hsa04510,hsa00750,hsa04130,hsa04976,hsa05014,hsa04141,hsa04916,hsa00052,hsa00534,hsa00670,hsa00650,hsa05410,hsa00340,hsa00053,hsa05221,hsa04530,hsa04320,hsa00310,hsa00564,hsa00592,hsa00920,hsa00120,hsa00460,hsa05210,hsa05150,hsa00020,hsa04914,hsa00562,hsa05212,hsa04660,hsa04370,hsa00500,hsa04973,hsa00512,hsa00280,hsa03015,hsa00900,hsa05416,hsa00350,hsa00040,hsa00480,hsa04260,hsa04144,hsa05217,hsa04971,hsa04270,hsa00360,hsa04612,hsa04145,hsa04650,hsa04340,hsa04630,hsa05222,hsa05320,hsa00330,hsa04380,hsa04060,hsa04910,hsa00230,hsa05144,hsa00590,hsa03018,hsa00400,hsa00410,hsa04950,hsa05216,hsa00270,hsa00970,hsa04122,hsa04670,hsa04970,hsa03320,hsa00910,hsa04062,hsa04610,hsa05220,hsa04960,hsa00232,hsa05215,hsa05016,hsa04666,hsa05214,hsa05218,hsa04962,hsa00520,hsa00260,hsa05200,hsa00532,hsa05211,hsa05160,hsa05130,hsa04930,hsa05213,hsa00140,hsa00770,hsa04010,hsa04114,hsa04662,hsa00760,hsa01040,hsa05142,hsa00062,hsa04912,hsa00061,hsa04115,hsa04350,hsa00603,hsa00561,hsa04740,hsa05219,hsa00630,hsa00604,hsa04720,hsa03013,hsa05140,hsa04210,hsa04672,hsa00980,hsa00510,hsa00071,hsa00100,hsa00591,hsa05322,hsa04730,hsa00531,hsa04110,hsa04620,hsa05131,hsa04540,hsa04360,hsa04664,hsa00740,hsa04150,hsa00830,hsa00565,hsa04080,hsa04744,hsa00860,hsa00380,hsa05120,hsa00620,hsa00982
727364,,707961,732217,,731024,,,,725575,,,,,709089,,,,,,727140,703436,,,,,,,,,720525,727583,,,,,,,,,,,,,726937,,,,,723769,,,,,,,,,,727835,,,,,,,,,,,,,,729766,,,,706740,704067,718730,,,705050,,,,,,,725280,,,,729496,,,,,,,721189,732491,703061,,708543,,,,,,,,,,,719519,,,728152,,,,,,,738859,,,707202,,738081,,,,,,,702315,,720273,,,,,,,,701167,723116,,,,,,,709457,,718541,,,,,706454,701595,,,,,707381,722746,728513,,,726217,,,,710819,,722458,,,,,,712115
727326,,708027,732256,,731043,,,,725541,,,,,709111,,,,,,727132,703405,,,,,,,,,720494,727624,,,,,,,,,,,,,726923,,,,,723739,,,,,,,,,,727807,,,,,,,,,,,,,,729745,,,,706800,704052,718733,,,705013,,,,,,,725230,,,,729562,,,,,,,721223,732478,703045,,,,,,,,,,,,,719524,,,728170,,,,,,,738875,,,707194,,738052,,,,,,,702256,,720291,,,,,,,,701224,723122,,,,,,,709436,,718555,,,,,706601,701529,,,,,707362,722726,728570,,,726184,,,,710862,,722455,,,,,,712155
727333,,708035,732245,,731123,,,,725535,,,,,709173,,,,,,727116,703382,,,,,,,,,720520,727599,,,,,,,,,,,,,726935,,,,,723793,,,,,,,,,,727818,,,,,,,,,,,,,,729764,,,,706776,704095,718746,,,705035,,,,,,,725263,,,,729565,,,,,,,721187,732510,703009,,,,,,,,,,,,,719518,,,728155,,,,,,,738811,,,707224,,738071,,,,,,,702299,,720280,,,,,,,,701132,723080,,,,,,,709414,,718564,,,,,706459,701545,,,,,707352,722724,728541,,,726211,,,,710825,,722485,,,,,,712176
727401,,707981,732200,,731104,,,,725562,,,,,708993,,,,,,727153,703419,,,,,,,,,720526,727586,,,,,,,,,,,,,726940,,,,,723792,,,,,,,,,,727825,,,,,,,,,,,,,,729750,,,,706837,704075,718716,,,705048,,,,,,,725244,,,,729475,,,,,,,721335,732490,703032,,,,,,,,,,,,,719515,,,728165,,,,,,,738863,,,707236,,738074,,,,,,,702296,,720262,,,,,,,,701272,,,,,,,,709443,,718585,,,,,706532,701551,,,,,707401,722755,728555,,,726212,,,,710832,,722433,,,,,,712165
727378,,707955,732228,,731101,,,,725540,,,,,709246,,,,,,727146,703412,,,,,,,,,720531,727590,,,,,,,,,,,,,726949,,,,,723752,,,,,,,,,,,,,,,,,,,,,,,,729783,,,,706723,704061,,,,705032,,,,,,,725259,,,,729564,,,,,,,721298,732542,703056,,,,,,,,,,,,,719534,,,728171,,,,,,,738871,,,707227,,738008,,,,,,,702279,,720317,,,,,,,,701232,,,,,,,,709454,,718524,,,,,706548,701647,,,,,707409,722696,728558,,,726221,,,,710868,,722434,,,,,,712183
727335,,708001,732240,,731084,,,,725529,,,,,709253,,,,,,727102,703385,,,,,,,,,720498,727587,,,,,,,,,,,,,726912,,,,,723768,,,,,,,,,,,,,,,,,,,,,,,,729761,,,,706824,704098,,,,705059,,,,,,,725272,,,,729515,,,,,,,721248,732531,703071,,,,,,,,,,,,,719489,,,728156,,,,,,,738848,,,707223,,738035,,,,,,,702286,,720211,,,,,,,,701285,,,,,,,,709437,,718547,,,,,706540,701521,,,,,707351,722722,728556,,,726188,,,,710848,,722474,,,,,,712143
727359,,707957,732204,,731079,,,,725534,,,,,709131,,,,,,727150,703433,,,,,,,,,720518,727558,,,,,,,,,,,,,726913,,,,,723748,,,,,,,,,,,,,,,,,,,,,,,,729727,,,,706780,704088,,,,705020,,,,,,,725233,,,,729559,,,,,,,721183,732541,703081,,,,,,,,,,,,,719506,,,728149,,,,,,,738825,,,,,738181,,,,,,,702244,,720201,,,,,,,,701203,,,,,,,,709416,,718550,,,,,706569,701597,,,,,707410,722761,728563,,,726207,,,,,,722453,,,,,,712170
727348,,707963,732241,,731035,,,,725570,,,,,709015,,,,,,727151,703365,,,,,,,,,720566,727564,,,,,,,,,,,,,726910,,,,,723747,,,,,,,,,,,,,,,,,,,,,,,,729735,,,,706799,704038,,,,,,,,,,,,,,,729476,,,,,,,721309,732539,702985,,,,,,,,,,,,,,,,728148,,,,,,,738826,,,,,738043,,,,,,,702314,,720311,,,,,,,,701234,,,,,,,,709411,,718574,,,,,706512,701627,,,,,707363,722705,728525,,,726196,,,,,,722460,,,,,,712126
727396,,707975,732251,,731062,,,,,,,,,709190,,,,,,727103,703400,,,,,,,,,720516,727597,,,,,,,,,,,,,726972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729784,,,,706814,704062,,,,,,,,,,,,,,,729504,,,,,,,721241,732473,703038,,,,,,,,,,,,,,,,728189,,,,,,,738813,,,,,738001,,,,,,,702312,,720260,,,,,,,,701278,,,,,,,,709439,,718525,,,,,706521,701562,,,,,707411,722743,728520,,,726197,,,,,,722420,,,,,,712119
727406,,707990,732254,,731091,,,,,,,,,709230,,,,,,727114,703359,,,,,,,,,720513,727607,,,,,,,,,,,,,726971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706757,704056,,,,,,,,,,,,,,,729563,,,,,,,721235,732504,703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,738057,,,,,,,702287,,720313,,,,,,,,701156,,,,,,,,709466,,718581,,,,,706477,701621,,,,,707374,722709,728587,,,726181,,,,,,722466,,,,,,712164
727338,,708003,732259,,731097,,,,,,,,,709164,,,,,,727143,703417,,,,,,,,,720511,727575,,,,,,,,,,,,,726964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706718,704053,,,,,,,,,,,,,,,729511,,,,,,,721338,732526,703037,,,,,,,,,,,,,,,,,,,,,,,,,,,,738120,,,,,,,702303,,720238,,,,,,,,701245,,,,,,,,709428,,718575,,,,,706605,701587,,,,,707412,722695,728579,,,726239,,,,,,722424,,,,,,712179
727340,,707980,732252,,731110,,,,,,,,,709148,,,,,,727130,703369,,,,,,,,,720560,727601,,,,,,,,,,,,,726938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706762,704060,,,,,,,,,,,,,,,729522,,,,,,,721300,732528,703105,,,,,,,,,,,,,,,,,,,,,,,,,,,,738030,,,,,,,702269,,720354,,,,,,,,701215,,,,,,,,709441,,718526,,,,,706618,701656,,,,,707380,722758,728562,,,726183,,,,,,722484,,,,,,712172
727380,,707970,732253,,731057,,,,,,,,,709038,,,,,,,703358,,,,,,,,,720571,727574,,,,,,,,,,,,,726941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706769,704058,,,,,,,,,,,,,,,729567,,,,,,,721252,732486,703027,,,,,,,,,,,,,,,,,,,,,,,,,,,,738170,,,,,,,702319,,720301,,,,,,,,701250,,,,,,,,709444,,718599,,,,,706464,701599,,,,,707379,722723,728559,,,726186,,,,,,722448,,,,,,712134
727392,,707968,732220,,731129,,,,,,,,,709277,,,,,,,703381,,,,,,,,,720532,727582,,,,,,,,,,,,,726933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706797,704043,,,,,,,,,,,,,,,729505,,,,,,,721305,,703030,,,,,,,,,,,,,,,,,,,,,,,,,,,,738012,,,,,,,702253,,720294,,,,,,,,701255,,,,,,,,709455,,718598,,,,,706610,701548,,,,,707370,722717,728521,,,,,,,,,722435,,,,,,712116
727356,,708026,732231,,731116,,,,,,,,,709075,,,,,,,703383,,,,,,,,,720567,727553,,,,,,,,,,,,,726977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706803,704030,,,,,,,,,,,,,,,729529,,,,,,,721238,,703058,,,,,,,,,,,,,,,,,,,,,,,,,,,,738031,,,,,,,702245,,720221,,,,,,,,701142,,,,,,,,709456,,718558,,,,,706622,701537,,,,,707347,722714,728550,,,,,,,,,722407,,,,,,712122
727352,,707994,732263,,731060,,,,,,,,,709043,,,,,,,703393,,,,,,,,,720504,727550,,,,,,,,,,,,,726922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706827,704076,,,,,,,,,,,,,,,729510,,,,,,,721278,,702992,,,,,,,,,,,,,,,,,,,,,,,,,,,,738128,,,,,,,702298,,720258,,,,,,,,701180,,,,,,,,709446,,718565,,,,,706523,701570,,,,,707404,722748,728543,,,,,,,,,722416,,,,,,712141
727337,,708041,732212,,731052,,,,,,,,,709109,,,,,,,703425,,,,,,,,,720540,727600,,,,,,,,,,,,,726992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706737,704027,,,,,,,,,,,,,,,729470,,,,,,,721199,,703035,,,,,,,,,,,,,,,,,,,,,,,,,,,,737996,,,,,,,702272,,720206,,,,,,,,701154,,,,,,,,709433,,718569,,,,,706564,701515,,,,,,722684,728503,,,,,,,,,722423,,,,,,712174
727433,,707973,732218,,731113,,,,,,,,,709060,,,,,,,703384,,,,,,,,,720502,727591,,,,,,,,,,,,,726919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706847,704035,,,,,,,,,,,,,,,729517,,,,,,,721301,,703109,,,,,,,,,,,,,,,,,,,,,,,,,,,,738075,,,,,,,702263,,720334,,,,,,,,701252,,,,,,,,,,718576,,,,,706470,701508,,,,,,722690,728582,,,,,,,,,722436,,,,,,712111
