,node.id,symbol
520,727232,PVRL1
521,738390,PIK3CB
522,726812,ELK1
523,734406,SLC8A3
524,737302,TICAM1
525,729390,ARAF
526,731661,OR2B2
527,726736,PTK2
528,722614,CDC25B
529,702776,APRT
530,708762,ENPP7
531,728231,CIITA
532,730042,PLA2G12A
533,715619,EXT1
534,740122,C9
535,725086,ITPR3
536,723639,UBE2D4
537,730539,CD40
538,735136,ATP5A1
539,708708,PLA2G4A
540,727063,SV2C
541,724415,LAMP1
542,702696,POLR1D
543,724558,DAO
544,707636,MBOAT1
545,735384,COX6B1
546,728215,CD74
547,721076,CCR3
548,737913,TRAF2
549,728062,F13B
550,732664,MAPK1
551,722214,PTGER4
552,715107,NDUFV1
553,718619,PNN
554,739859,PIK3R3
555,725476,WIF1
556,728381,SPP1
557,702649,PPAT
558,730054,RAC1
559,732973,ADCY5
560,724372,TUBA1C
561,701374,ACADSB
562,725660,RBPJ
563,731403,OR5AR1
564,739174,FZD2
565,701722,NSDHL
566,732676,NRAS
567,726315,NFAT5
568,737010,IL12B
569,718410,RANGAP1
570,724955,MYL3
571,723654,DNAJC5B
572,729824,PIK3CB
573,710749,CYP3A43
574,721018,PLEKHO2
575,722835,ITPR3
576,714832,DNMT3B
577,714734,CRYL1
578,725382,MYC
579,715280,EPT1
580,739250,FGF17
581,714566,TPH1
582,730790,ITPR1
583,738413,HRAS
584,720382,PAK6
585,739275,PIK3CA
586,704777,METTL6
587,740068,IFNA10
588,710740,CYP26A1
589,707612,LIPC
590,714960,ACOX3
591,735852,PLCG1
592,732166,FGF18
593,733286,SLC2A2
594,731761,ADCY8
595,732271,MAPK10
596,727728,MYL2
597,737941,CSF1R
598,708882,FUT5
599,731537,OR4X1
600,715208,ADSS
601,740536,MYH7
602,725763,WNT5B
603,705780,GGT1
604,729207,IL4R
605,728782,DDX3X
606,715754,RFK
607,736194,FBXW11
608,740339,HLA-DQA2
609,706205,G6PC2
610,732635,GNAQ
611,729108,IFNA5
612,723724,SSR4
613,735220,BAX
614,734349,ATP1A2
615,736050,CTTN
616,726331,MAPK12
617,736429,MAPK12
618,723608,YOD1
619,724975,UQCR10
620,730422,NCF4
621,728451,CD14
622,729001,STAT4
623,709972,HADHA
624,731848,ARRB1
625,709876,HADHA
626,734124,PLA2G2C
627,734238,AMY2B
628,707328,HYAL4
629,730376,MYL12B
630,728956,CCND1
631,739559,FLT3
632,723031,FAS
633,731915,APC2
634,725127,PLA2G4A
635,701809,CYP46A1
636,729852,NFATC4
637,737610,PIK3CD
638,708486,GGT7
639,725389,SMAD4
640,731465,OR2T1
641,730429,VAV1
642,707763,PTEN
643,726337,VEGFA
644,720790,ADCY4
645,725485,SFRP2
646,740093,FCGR3B
647,740715,DAG1
648,725144,MAP2K1
649,730137,MAPK3
650,715642,PIGW
651,730712,CALML6
652,721101,CCL3
653,731427,OR2T6
654,711539,AARS2
655,726513,CREB1
656,729613,PIK3R2
657,731967,ACTN2
658,708111,DGKQ
659,730322,CLDN14
660,726531,TGFB2
661,724673,RPS6KA2
662,732950,CREBBP
663,731783,TAS2R8
664,715487,LIPG
665,722895,SGOL1
666,720449,PIK3R5
667,732800,HSP90AA1
668,726120,PLXNB2
669,734964,CALML5
670,701027,UGT1A4
671,720757,PTGFR
672,721042,IL21
673,700704,FUK
674,722867,ADCY6
675,718633,UPF2
676,737523,WNT2
677,712266,UMPS
678,720394,MAP2K4
679,732399,G6PC2
680,703942,IVD
681,736271,PRKCB
682,714802,MRI1
683,739895,RXRB
