,matlab,python,delta
205397_x_at,-154.831575,163.10087797388945,-8.269302973889467
205398_s_at,-191.442022,202.49184228538974,-11.049820285389728
205399_at,-163.721282,163.82502061639101,-0.10373861639101278
205400_at,-185.95951200000002,190.13425993199982,-4.1747479319998035
205401_at,-147.751872,147.700242877803,0.05162912219699933
205402_x_at,-172.15041000000002,172.80869210498892,-0.6582821049888992
205403_at,-201.242839,201.88318221350957,-0.640343213509567
205404_at,-143.047879,143.47216735902444,-0.4242883590244446
205405_at,-112.29838000000001,120.10200703743536,-7.803627037435348
205406_s_at,-107.24258,135.68432030457365,-28.441740304573642
205407_at,-120.866872,129.72129868915493,-8.854426689154934
205408_at,-145.27944399999998,142.27717334571722,3.0022706542827677
205409_at,-196.04662,194.28754226898334,1.7590777310166459
205410_s_at,-180.998516,186.12077708827675,-5.122261088276758
205411_at,-162.870845,161.90157926223887,0.969265737761134
205412_at,-173.896591,174.30163407442151,-0.40504307442151344
205413_at,-216.035647,216.39189362713654,-0.3562466271365281
205414_s_at,-172.110241,172.4374775342963,-0.32723653429630417
205415_s_at,-141.962141,142.2510536356291,-0.28891263562908875
205416_s_at,-129.819265,130.19026803311078,-0.37100303311078164
205417_s_at,-104.78537299999999,108.07340737226335,-3.288034372263354
205418_at,-176.674826,175.44260814794143,1.232217852058568
205419_at,-172.932984,171.67917195118156,1.253812048818446
205420_at,-177.137992,173.59494262445617,3.5430493755438306
205421_at,-207.680914,215.88415645772974,-8.203242457729743
205422_s_at,-198.460768,197.62413624782792,0.8366317521720816
205423_at,-163.776195,163.21421362711772,0.5619813728822862
205424_at,-136.49733500000002,144.48495178754442,-7.987616787544397
205425_at,-201.443231,201.7911183727255,-0.34788737272549497
205426_s_at,-190.570201,195.7334218798166,-5.163220879816606
205427_at,-165.551928,166.04140505801993,-0.48947705801992925
205428_s_at,-114.44123700000002,120.95188358055539,-6.510646580555374
205429_s_at,-192.539286,194.44961922915303,-1.910333229153025
205430_at,-209.376821,210.55481303146917,-1.1779920314691594
205431_s_at,-166.470225,168.5555601163047,-2.085335116304691
205432_at,-148.71818000000002,148.67917512398535,0.03900487601467262
205433_at,-223.28082799999999,223.88045075261294,-0.5996227526129587
205434_s_at,-84.541978,92.54633497230387,-8.004356972303867
205435_s_at,-120.170864,119.23711202478115,0.9337519752188399
205436_s_at,-110.44403100000001,110.41577205482565,0.028258945174357564
205437_at,-173.92781599999998,173.474850150911,0.45296584908896875
205438_at,-183.360513,184.27036384837595,-0.9098508483759531
205439_at,-165.008015,165.2560390095184,-0.24802400951838877
205440_s_at,-201.983762,204.53488995832097,-2.5511279583209614
205441_at,-156.226813,155.97753214707592,0.24928085292407332
205442_at,-211.55303999999998,213.32977624354763,-1.7767362435476457
205443_at,-155.790445,157.8986365163529,-2.108191516352889
205444_at,-175.321439,175.89931800586658,-0.5778790058665777
205445_at,-186.729189,186.25084288913544,0.4783461108645497
205446_s_at,-159.01273799999998,156.99457156075312,2.018166439246869
205447_s_at,-163.90516499999998,164.80605948832113,-0.9008944883211427
205448_s_at,-137.789017,137.90366699067437,-0.11464999067436565
205449_at,-193.69581000000002,194.0512055174441,-0.35539551744406594
205450_at,-191.452911,196.86285022529103,-5.409939225291026
205451_at,-136.04683500000002,136.3382514957874,-0.29141649578738793
205452_at,-113.582163,120.74262085659669,-7.160457856596693
205453_at,-194.79107199999999,202.08381894062666,-7.292746940626671
205454_at,-167.137273,166.55492565739513,0.5823473426048622
205455_at,-136.242547,136.6063288100921,-0.36378181009209243
205456_at,-172.104657,170.68807185757092,1.416585142429085
205457_at,-185.658279,196.88527477512423,-11.226995775124237
205458_at,-171.31841200000002,171.06917333817026,0.2492386618297644
205459_s_at,-181.649665,181.81517671640594,-0.16551171640594475
205460_at,-148.761406,155.19838566536686,-6.436979665366863
205461_at,-164.11486399999998,171.84289991912254,-7.728035919122561
205462_s_at,-168.36171000000002,176.0938373036412,-7.732127303641192
205463_s_at,-155.28351,153.95107595286947,1.3324340471305334
205464_at,-191.76191,192.58251395356314,-0.8206039535631362
205465_x_at,-147.91785900000002,150.47754248396484,-2.559683483964818
205466_s_at,-178.18260800000002,182.85464549477516,-4.6720374947751395
205467_at,-153.048573,152.87097647066153,0.17759652933847292
205468_s_at,-146.67253200000002,156.34515162488205,-9.672619624882032
205469_s_at,-146.091892,146.11550291618954,-0.02361091618953992
205470_s_at,-206.10106399999998,205.64541055578593,0.4556534442140503
205471_s_at,-163.185113,161.92682826167334,1.2582847383266653
205472_s_at,-190.13691599999999,191.12053025386464,-0.9836142538646584
205473_at,-172.179564,173.81894006653707,-1.6393760665370678
205474_at,-65.395729,71.23126181198724,-5.835532811987235
205475_at,-179.435955,180.45944735603518,-1.0234923560351774
205476_at,-177.85191899999998,174.32143567164744,3.5304833283525454
205477_s_at,-209.26282700000002,211.06756368191265,-1.8047366819126296
205478_at,-172.090296,174.8579753526844,-2.767679352684411
205479_s_at,-158.176333,161.8788726782738,-3.7025396782738085
205480_s_at,-114.105185,113.61226565871395,0.4929193412860542
205481_at,-161.06821100000002,161.78223149014963,-0.7140204901496077
205482_x_at,-167.190852,167.07984146474575,0.11101053525425186
205483_s_at,-167.05887099999998,165.00854295166548,2.0503280483345065
205484_at,-160.839893,157.14665727041685,3.6932357295831366
205485_at,-172.901698,178.44514080313905,-5.543442803139044
205486_at,-134.68178600000002,134.03687784660212,0.6449081533978926
205487_s_at,-168.116059,178.31728334922997,-10.20122434922996
205488_at,-156.477908,156.99570476165852,-0.5177967616585022
205489_at,-161.88841200000002,167.40414180067856,-5.5157298006785425
205490_x_at,-181.46738,177.27583935638958,4.191540643610409
205491_s_at,-176.512527,176.0465509513382,0.4659760486618154
205492_s_at,-188.608898,195.3384401676014,-6.72954216760138
205493_s_at,-207.457702,217.0031707631652,-9.54546876316519
205494_at,-181.64111,185.06830566122198,-3.4271956612219867
205495_s_at,-174.431186,177.43350570106062,-3.002319701060628
205496_at,-174.277514,174.14950527891023,0.12800872108977046
205497_at,-137.00109799999998,138.43604140331865,-1.4349434033186697
205498_at,-180.028666,179.9653256065387,0.06334039346128861
205499_at,-193.644337,193.9892969209104,-0.34495992091038374
205500_at,-188.355298,189.76667568908638,-1.411377689086379
205501_at,-201.616862,200.5746472950146,1.0422147049853834
205502_at,-198.15485,200.67139645756774,-2.5165464575677277
205503_at,-189.650709,188.47449995505127,1.1762090449487346
205504_at,-161.11164399999998,168.14317126011863,-7.031527260118651
205505_at,-144.775105,148.006633713636,-3.23152871363601
205506_at,-197.70385,199.02169835002124,-1.3178483500212508
