cell_id	cluster	umap_x	umap_y
277	5	-1.00907	11.5198
278	0	-3.74847	5.81294
279	2	-0.813171	6.53509
280	9	-4.02076	5.47854
281	8	-1.24493	0.549153
282	5	-0.508469	11.9982
283	5	-0.223039	12.8092
284	6	15.0264	14.4063
285	2	-1.32955	6.57526
286	5	-0.0945689	11.9076
287	8	-0.79475	-0.0787456
288	1	1.81709	8.77379
289	1	2.09971	7.10613
290	6	13.5632	14.1545
291	1	1.7906	9.11042
292	8	-0.955564	0.23634
293	4	4.11373	8.71703
294	6	14.5925	14.6229
295	8	-1.16242	0.450679
296	8	-0.918507	-0.0309926
297	8	-0.594216	-1.39498
298	1	2.52394	8.71692
299	4	3.56518	6.71561
300	8	-1.11115	-0.800835
301	5	-0.549743	12.7935
302	1	1.96207	5.16181
303	2	-0.577355	9.01308
304	8	-0.801056	-0.820592
305	2	-0.646059	7.08782
306	0	-7.18101	9.56258
307	0	-2.98849	10.4818
308	6	14.9643	13.3245
309	8	-1.18837	-1.62774
310	6	15.171	13.6621
311	6	15.2454	14.1516
312	1	-0.193494	7.19115
313	8	-1.26727	0.817326
314	4	5.71694	8.31271
315	8	-0.646816	-1.34274
316	2	-1.31501	7.10777
317	3	-1.31486	5.40198
318	8	-1.13144	0.661315
319	6	14.621	14.6031
320	1	0.603021	7.11105
321	2	-0.605109	8.09547
322	4	3.98528	6.73886
323	5	1.13043	11.8853
324	5	1.89867	11.8027
325	0	-3.18579	6.11635
326	6	14.543	14.0081
327	6	14.0028	13.6653
328	4	5.45416	7.33096
329	0	-4.02917	9.59928
330	3	-2.20695	5.3548
331	6	15.3209	14.4359
332	0	-7.90399	8.79292
333	8	-0.862325	-0.448064
334	4	6.20642	5.75997
335	0	-4.68759	7.05989
336	4	4.06801	6.45449
337	8	-1.10322	0.249102
338	8	-1.26686	0.626939
339	0	-5.81233	9.3204
340	3	-0.793203	5.38072
341	6	14.0647	14.2178
342	3	-0.759948	4.4237
343	4	3.45243	6.90369
344	4	4.35647	5.82735
345	0	-6.75188	8.86757
346	6	14.8688	14.6455
347	1	0.846302	6.92392
348	4	3.74294	6.26877
349	3	-1.23047	5.01532
350	4	5.49977	5.70944
351	2	-1.38886	10.7154
352	8	-0.748432	-0.853373
353	9	-4.34157	5.38056
354	0	-7.69583	8.79708
355	0	-3.35752	7.49584
356	3	-0.432289	3.49247
357	3	1.0435	4.60421
358	3	0.860708	4.61323
359	0	-4.17466	6.98486
360	0	-3.0864	6.87638
361	2	0.172405	7.69757
362	2	-1.0356	6.48969
363	8	-1.13389	0.580849
364	6	13.4589	13.9412
365	0	-3.25615	10.2151
366	6	13.7296	14.1736
367	6	14.2799	14.4951
368	4	3.58736	6.80472
369	8	-0.842565	-1.55063
370	3	-0.647686	5.24979
371	6	13.8978	14.1497
372	0	-7.84592	8.8577
373	6	14.6472	14.0508
374	4	3.73836	6.49721
375	6	13.6036	13.4908
376	7	3.10205	11.1608
377	2	-2.95996	10.0784
378	5	0.875635	13.0684
379	6	15.0404	14.3942
380	6	14.8595	13.688
381	4	5.57862	6.99141
382	8	-1.18933	0.126863
383	8	-1.15999	-0.36835
384	1	0.753392	7.1185
385	3	-0.69826	3.67503
386	6	15.4252	14.4568
387	6	13.9393	13.4634
388	6	15.7294	14.4633
389	5	1.94468	12.4476
390	8	-0.840243	-1.1868
391	1	2.18842	6.42236
392	8	-1.04984	-1.23304
393	6	13.9561	14.4651
394	0	-5.17424	7.5735
395	6	13.3123	13.7466
396	6	13.5535	14.2962
397	5	-0.589	12.2044
398	6	13.784	14.064
399	5	-0.734635	11.762
400	6	14.3807	13.8794
401	6	15.1604	14.447
402	6	14.5686	14.161
403	8	-1.30519	0.312892
404	1	0.266779	7.01832
405	0	-4.44751	6.38608
406	3	-3.35347	6.01577
407	3	-0.976682	4.45474
408	8	-0.757727	-1.38261
409	6	15.3218	14.4255
410	6	15.4233	14.3519
411	5	4.36398	9.45547
412	6	15.3575	14.6097
413	5	-0.12067	12.6615
414	1	0.509061	7.69006
415	8	-0.799255	-1.66149
416	5	0.756004	12.8371
417	1	2.62023	9.83136
418	1	0.503099	7.15758
419	4	4.62444	9.21528
420	4	3.40466	9.11352
421	9	-4.13256	5.70991
422	8	-0.826583	-0.969407
423	8	-1.03574	-1.74457
