hsa:1	A1BG
hsa:100170841	EPOP
hsa:10018	BCL2L11
hsa:100187716	MIR1224
hsa:100188847	MIR1225
hsa:100188893	TOMM6
hsa:10019	SH2B3
hsa:100190949	C5orf52
hsa:100191040	C2CD4D
hsa:100191063	SNAR-A14
hsa:1002	CDH4
hsa:10020	GNE
hsa:10021	HCN4
hsa:10022	INSL5
hsa:10023	FRAT1
hsa:10024	TROAP
hsa:10025	MED16
hsa:10026	PIGK
hsa:100271715	ARHGEF33
hsa:100271846	ERVV-2
hsa:100271849	MEF2B
hsa:100271927	RASA4B
hsa:100272147	CMC4
hsa:100287045	FAM90A26
hsa:100287144	USP17L10
hsa:100287171	WASHC1
hsa:100287178	USP17L11
hsa:100287205	USP17L12
hsa:100287226	ZNF729
hsa:100287238	USP17L13
hsa:100287284	MANSC4
hsa:100287327	USP17L17
hsa:100287364	USP17L18
hsa:100287399	POTEB2
hsa:100287404	USP17L19
hsa:100287441	USP17L20
hsa:100287478	USP17L21
hsa:100287482	SMKR1
hsa:100287513	USP17L22
hsa:100287520	GLYATL1B
hsa:100287718	ANKRD66
hsa:100287898	TTC34
hsa:100287932	TIMM23
hsa:100288072	SDR42E2
hsa:100288142	NBPF20
hsa:100288287	KRTAP22-2
hsa:100288323	KRTAP21-3
hsa:100288332	NPIPA5
hsa:100288413	ERVMER34-1
hsa:100288485	MTRNR2L7
hsa:100288520	USP17L15
hsa:100288687	DUX4
hsa:100288695	LIMS4
hsa:100288797	TMEM239
hsa:100288801	FRG2C
hsa:100288814	CLDN34
hsa:100289087	TSPY10
hsa:100289187	TMEM225B
hsa:100289279	CNTNAP3C
hsa:100289462	DEFB4B
hsa:100289635	ZNF605
hsa:100289678	ZNF783
hsa:100293516	ZNF587B
hsa:100293534	C4B_2
hsa:1003	CDH5
hsa:100302111	MIR1184-1
hsa:100302112	MIR1284
hsa:100302113	MIR1200
hsa:100302114	MIR513C
hsa:100302115	MIR1468
hsa:100302116	MIR1265
hsa:100302117	MIR320B1
hsa:100302118	MIR1286
hsa:100302119	MIR1538
hsa:100302121	MIR1276
hsa:100302122	MIR1183
hsa:100302123	MIR1275
hsa:100302124	MIR1288
hsa:100302125	MIR1289-1
hsa:100302126	MIR1471
hsa:100302127	MIR1470
hsa:100302128	MIR1302-3
hsa:100302129	MIR1915
hsa:100302130	MIR1302-4
hsa:100302131	MIR302F
hsa:100302132	MIR1182
hsa:100302133	MIR1287
hsa:100302134	MIR1289-2
hsa:100302135	MIR320C1
hsa:100302136	MIR1252
hsa:100302137	MIR1914
hsa:100302138	MIR1292
hsa:100302139	MIR1537
hsa:100302140	MIR1302-6
hsa:100302141	MIR1913
hsa:100302142	MIR1246
hsa:100302143	MIR1248
hsa:100302144	MIR1912
hsa:100302145	MIR1247
hsa:100302146	MIR1302-5
hsa:100302147	MIR1302-7
hsa:100302148	MIR1263
hsa:100302149	MIR1249
hsa:100302150	MIR1296
hsa:100302152	MIR548N
hsa:100302153	MIR1298
